id,denekId,sayac,yatirim,rakip,secim,secimsure,kazanc,toplam,PE_raw,V_value,PE_normalized,group
4375,10094,24,0,1,1,374,20,900,-3.1209535606516123,5.120953560651612,-0.9091027441644458,0
4376,10094,25,1,0,1,452,0,900,-5.120953560651612,5.120953560651612,-1.5943614670760435,0
4377,10094,26,0,1,1,702,20,920,-0.42872861144722396,2.428728611447224,0.013332571076824657,0
4378,10094,27,1,1,1,562,60,980,3.571271388552776,2.428728611447224,1.3838500169000207,0
4379,10094,28,1,1,1,344,60,1040,1.6937566212799844,4.306243378720016,0.7405583310655109,0
4380,10094,29,0,1,1,499,20,1060,-3.196697427889302,5.196697427889302,-0.9350548170302883,0
4381,10094,30,1,0,1,639,0,1060,-5.196697427889302,5.196697427889302,-1.620313539941886,0
4382,10094,31,1,0,1,437,0,1060,-2.4646518619362263,2.4646518619362263,-0.6842345122112369,0
4383,10094,32,0,1,1,421,20,1080,0.8310828396617007,1.1689171603382993,0.444980964124979,0
4384,10094,33,0,1,1,281,20,1100,0.8310828396617007,1.1689171603382993,0.444980964124979,0
4385,10094,34,1,0,1,499,0,1100,-1.1689171603382993,1.1689171603382993,-0.24027775878661894,0
4386,10094,35,0,1,1,344,20,1120,1.445614470410463,0.554385529589537,0.6555375443628183,0
4387,10094,36,1,1,1,265,60,1180,5.445614470410463,0.554385529589537,2.0260549901860143,0
4388,10094,37,1,0,1,592,0,1180,-3.4172935734426013,3.4172935734426013,-1.0106375335208257,0
4389,10094,38,0,1,1,328,20,1200,0.3792708570318135,1.6207291429681865,0.29017691301842224,0
4390,10094,39,1,1,1,639,60,1260,4.3792708570318135,1.6207291429681865,1.6606943588416183,0
4391,10094,40,1,1,1,359,60,1320,2.076968732830452,3.923031267169548,0.871858052148176,0
4392,10094,41,1,1,1,312,60,1380,0.9850496253796788,5.014950374620321,0.4977345056009317,0
4393,10094,42,1,1,1,421,60,1440,0.46718217232779846,5.5328178276722015,0.32029791084302495,0
4394,10094,43,0,1,1,390,20,1460,-3.7784282369968976,5.778428236996898,-1.134372872693989,0
4395,10094,44,1,1,1,593,60,1520,0.22157176300310244,5.778428236996898,0.23614457312920695,0
4396,10094,45,1,1,1,390,60,1580,0.10508544432610734,5.894914555673893,0.19623294014257142,0
4397,10094,46,1,1,1,561,60,1640,0.04983916027720969,5.95016083972279,0.1773039411160919,0
4398,10094,47,0,1,1,733,20,1660,-3.9763626455303456,5.976362645530346,-1.2021910126999356,0
4399,10094,48,1,1,1,468,60,1720,0.023637354469654426,5.976362645530346,0.16832643312326043,0
4400,10094,49,1,1,1,483,60,1780,0.011210552569835386,5.988789447430165,0.1640686459233877,0
4401,10094,50,1,1,1,421,60,1840,0.005316859341530034,5.99468314065847,0.1620492935759571,0
4402,10094,51,1,1,1,421,60,1900,0.002521641380432982,5.997478358619567,0.16109156983081663,0
4403,10094,52,0,1,1,577,20,1920,-3.9988040542652987,5.998804054265299,-1.2098800982449611,0
4404,10094,53,1,1,1,453,60,1980,0.0011959457347012759,5.998804054265299,0.16063734757823483,0
4405,10094,54,1,1,1,531,60,2040,0.0005672044452671443,5.999432795554733,0.16042192235171512,0
4406,10094,55,0,1,1,452,20,2060,-3.9997309904008223,5.999730990400822,-1.2101976937811858,0
4407,10094,56,1,0,1,453,0,2060,-5.999730990400822,5.999730990400822,-1.8954564166927836,0
4408,10094,57,0,1,1,375,20,2080,-0.8455087797200993,2.8455087797200993,-0.12946855184595107,0
4409,10094,58,1,1,1,483,60,2140,3.1544912202799007,2.8455087797200993,1.2410488939772448,0
4410,10094,59,1,1,1,343,60,2200,1.496089154200022,4.503910845799978,0.6728316530393182,0
4411,10096,0,0,1,0,0,0,0,-1.0,1.0,-0.5493194431278755,0
4412,10096,1,0,1,1,530,20,20,1.0,1.0,0.21284026010368223,0
4413,10096,2,1,1,1,809560686,60,80,5.0,1.0,1.7371596665667979,0
4414,10096,3,1,1,1,1014,60,140,1.463181818181818,4.536818181818182,0.3893495186475361,0
4415,10096,4,1,1,1,1202,60,200,0.42818020661156986,5.57181979338843,-0.005068741911746055,0
4416,10096,5,1,1,1,1170,60,260,0.1253010986438765,5.8746989013561235,-0.1204898674335941,0
4417,10096,6,1,0,1,905,0,260,-5.9633323421332145,5.9633323421332145,-2.4407453955877974,0
4418,10096,7,1,1,1,998,60,320,4.254912108243017,1.7450878917569828,1.4532216833353333,0
4419,10096,8,0,1,1,936,20,340,-2.75485799305143,4.75485799305143,-1.218060466726678,0
4420,10096,9,1,1,1,765,60,400,1.2451420069485701,4.75485799305143,0.3062589397364376,0
4421,10096,10,1,0,1,1092,0,400,-5.635626170875686,5.635626170875686,-2.3158631764714035,0
4422,10096,11,1,1,1,624,60,460,4.3508108505410155,1.6491891494589845,1.4897667618203942,0
